Date Event Began,Date of Restoration,Respondent,Geographic Areas,Tags,Time Event Began,Time of Restoration,Category,Sub Category
8/19/2010,8/23/2010,Detroit Edison,Southeastern Michigan,severe weather,18:00:00,15:30:00,Severe Weather,
8/11/2010,8/11/2010,American Electric Power,Ohio,severe weather,15:21:00,12:12:00,Severe Weather,
7/23/2010,7/26/2010,Detroit Edison,Southeastern Michigan,severe weather,19:30:00,18:30:00,Severe Weather,
7/15/2010,7/19/2010,Detroit Edison,Southeastern Michigan,severe weather,19:00:00,23:30:00,Severe Weather,
12/10/2009,12/12/2009,Detroit Edison,Michigan,severe weather,17:45:00,08:00:00,Severe Weather,
12/9/2009,12/10/2009,American Electric Power,Ohio,severe weather,13:37:00,06:30:00,Severe Weather,
12/26/2006,12/31/2006,Pacific Gas and Electric Company,Northern California,severe weather,00:01:00,09:13:00,Severe Weather,
11/15/2006,11/15/2006,Southern Company,Georgia,severe weather,15:00:00,17:00:00,Severe Weather,
8/18/2000,8/20/2000,Duke Power,North Carolina,severe weather,18:30:00,12:00:00,Severe Weather,
8/9/2000,8/7/2000,Cinergy Corp,Ohio,severe weather,18:30:00,23:59:00,Severe Weather,
8/6/2000,8/7/2000,Commonwealth Edison,Illinois,severe weather,16:00:00,12:00:00,Severe Weather,
5/25/2000,6/2/2000,Duke Power,North Carolina,severe weather,10:00:00,06:00:00,Severe Weather,
