date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location,target
2011-01-25,1,-7,0.0,7.0,1,55,No moonrise,10:08 AM,07:12 AM,05:05 PM,-3,-4,-2,-4,10,52,91,0.0,1022,1,9,197,6,New York,0
2010-12-14,22,1,0.0,11.0,4,54,01:16 PM,01:15 AM,07:19 AM,06:05 PM,-1,10,10,10,11,3,55,0.0,1018,22,10,143,5,San Francisco Bay Area,0
2010-12-15,22,5,0.0,11.0,4,62,01:50 PM,02:04 AM,07:19 AM,06:06 PM,-5,12,13,12,21,0,35,0.0,1013,22,10,242,11,San Francisco Bay Area,0
2010-12-12,-4,-14,0.0,1.0,1,40,11:27 AM,11:34 PM,07:15 AM,04:28 PM,-9,-17,-8,-17,50,96,97,2.3,1011,-4,2,327,32,Ohio,0
2010-12-13,12,7,0.0,6.0,2,47,12:01 PM,No moonset,07:49 AM,04:19 PM,8,8,9,8,19,63,96,5.9,1010,12,7,184,7,Tacoma,0
2010-12-03,-1,-6,0.6,6.0,1,11,05:00 AM,02:51 PM,07:12 AM,04:34 PM,-7,-7,-3,-7,17,61,76,1.9,1023,-1,7,80,11,Illinois,0
2010-12-04,4,-2,0.0,9.0,2,4,05:58 AM,03:30 PM,07:04 AM,04:28 PM,-4,-4,1,-4,30,16,73,0.0,1010,4,10,305,19,New York,0
2010-11-23,15,9,0.0,10.0,3,79,06:12 PM,08:49 AM,06:53 AM,04:33 PM,10,10,12,10,25,46,93,0.2,1014,15,9,243,14,Newark,0
2010-11-21,3,-1,0.5,5.0,1,100,04:17 PM,07:36 AM,07:23 AM,04:28 PM,-2,-3,0,-3,17,55,91,1.8,1007,3,5,11,8,Tacoma,0
2010-11-22,20,8,0.0,11.0,3,87,05:53 PM,07:56 AM,06:59 AM,05:08 PM,11,14,14,14,14,21,86,0.0,1026,20,7,215,7,Southern California,0
2010-11-24,2,-4,1.6,5.0,1,72,07:19 PM,09:46 AM,06:57 AM,04:31 PM,-4,-6,0,-6,39,68,79,11.0,1016,2,7,119,23,Ohio,0
2010-11-06,19,9,0.0,11.0,4,0,08:07 AM,06:48 PM,07:37 AM,06:29 PM,3,13,13,13,16,0,48,0.0,1027,19,10,67,9,Texas,0
2010-10-27,28,15,0.0,10.0,5,65,09:37 PM,10:05 AM,06:03 AM,05:42 PM,17,20,21,20,10,47,84,0.3,1013,28,7,197,2,Alberta,0
2010-10-28,25,20,0.0,10.0,5,58,10:46 PM,10:24 AM,05:43 AM,05:46 PM,19,25,25,23,14,34,76,1.9,1010,25,10,280,6,Island of Puerto Rico,0
2010-10-29,7,1,0.0,6.0,1,51,11:54 PM,01:43 PM,07:42 AM,06:15 PM,1,1,4,1,33,61,84,2.9,1021,7,8,291,18,Northern Illinois,0
2010-10-26,20,16,0.0,1.0,4,72,08:19 PM,11:00 AM,07:20 AM,06:01 PM,17,18,18,18,22,85,96,0.0,1012,20,6,190,13,Newark,0
2010-08-19,36,21,0.0,13.0,7,63,04:33 PM,01:33 AM,06:15 AM,07:36 PM,7,27,27,27,26,1,29,0.0,1010,36,10,268,13,California,0
2010-08-20,24,15,0.0,6.0,4,70,04:49 PM,03:24 AM,06:52 AM,07:29 PM,18,19,20,19,9,74,87,39.0,1010,24,8,205,3,Island of Puerto Rico,0
2010-08-21,33,19,0.0,13.0,7,77,06:16 PM,03:45 AM,06:40 AM,08:00 PM,17,27,27,26,13,3,60,0.0,1014,33,10,132,6,North Carolina,0
2010-08-22,31,25,0.0,12.0,6,84,06:36 PM,04:27 AM,06:26 AM,07:46 PM,24,30,30,27,18,62,83,15.5,1010,31,9,203,10,Virginia,0
2010-08-23,28,23,0.0,13.0,7,92,07:04 PM,05:26 AM,06:27 AM,07:45 PM,21,28,28,25,20,14,78,0.2,1010,28,9,135,13,Virginia,0
2010-08-11,35,27,0.0,14.0,8,4,08:27 AM,09:04 PM,06:45 AM,08:04 PM,24,36,36,31,13,25,67,0.0,1011,35,10,203,7,Texas,0
2010-07-29,27,16,0.0,14.0,5,75,10:01 PM,09:36 AM,06:09 AM,08:33 PM,17,22,23,22,23,32,77,6.3,1014,27,9,294,12,Northern California,0
2010-07-23,33,18,0.0,10.0,6,81,07:08 PM,03:32 AM,06:00 AM,08:36 PM,20,27,27,25,28,44,74,3.3,1014,33,8,242,14,Pennsylvania,0
2010-07-24,32,22,0.0,9.0,6,88,07:42 PM,04:23 AM,05:51 AM,08:28 PM,24,30,30,26,26,59,87,23.3,1011,32,8,244,12,Illinois,0
