id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end
PASH0,Shishmaref,US,AK,,PASH,66.2496,-166.0893,4.0,America/Nome,2006-01-01,2023-11-21,2006-01-01,2022-04-24,2011-01-01,2021-01-01
KW960,Quinton / Wrights Corner,US,VA,,KW96,37.5034,-77.1266,37.0,America/New_York,2020-01-14,2023-12-13,2020-01-14,2022-04-25,2020-01-01,2022-01-01
5Q4PV,Sunnyside Municipal Airport,US,WA,,K1S5,46.3271,-119.9704,234.0,America/Los_Angeles,2022-05-06,2023-12-13,,,,
74531,Air Force Academy,US,CO,74531,KAFF,38.9667,-104.8167,2003.0,America/Denver,1967-11-27,2023-12-13,1970-08-01,2022-04-25,2008-01-01,2022-01-01
KBKX0,Brookings,US,SD,,KBKX,44.3048,-96.8169,502.0,America/Chicago,2006-01-01,2023-12-13,2006-01-01,2022-04-24,2006-01-01,2022-01-01
KRAC0,Racine / Ives,US,WI,,KRAC,42.7612,-87.8139,205.0,America/Chicago,2006-01-01,2023-12-13,2006-01-01,2022-04-24,2006-01-01,2022-01-01
WLH1H,Hotel,US,MT,,K1HM,47.6975,-111.9429,1179.0,America/Denver,2022-05-06,2023-12-12,,,,
J6V1G,York Airport,US,PA,,KTHV,39.9194,-76.8769,146.0,America/New_York,2022-04-23,2023-12-13,2022-04-24,2022-04-24,,
KELZ0,Wellsville / Norton Summit,US,NY,,KELZ,42.1095,-77.99,647.0,America/New_York,2006-01-01,2023-12-13,2006-01-01,2022-04-24,2006-01-01,2021-01-01
KSSF0,San Antonio / Bergs Mill,US,TX,,KSSF,29.337,-98.471,176.0,America/Chicago,1999-01-01,2023-12-13,1999-01-01,2022-04-24,2002-01-01,2022-01-01
91196,Kailua,US,HI,91196,,20.9,-156.2167,213.0,Pacific/Honolulu,,,1905-01-01,2022-06-03,1905-01-01,2007-01-01
KLZZ0,Lampasas / Radio Junction,US,TX,,KLZZ,31.1062,-98.1959,370.0,America/Chicago,2009-07-19,2023-12-13,2009-07-20,2022-04-24,2020-01-01,2022-01-01
5IQZ5,Mansfield - C E Rusty Williams Airport,US,LA,,K3F3,32.0717,-93.764,96.0,America/Chicago,2022-05-06,2023-12-13,,,,
KHJO0,Hanford / Shell,US,CA,,KHJO,36.3167,-119.6277,73.0,America/Los_Angeles,2006-01-01,2023-12-13,2006-01-01,2022-04-24,2006-01-01,2022-01-01
72672,Riverton Regional Airport,US,WY,72672,KRIW,43.0667,-108.45,1684.0,America/Denver,2007-04-01,2023-12-13,2007-04-01,2022-04-24,2007-01-01,2022-01-01
SFHU0,New Lisbon Mauston Airport,US,WI,,K82C,43.8387,-90.1377,276.0,America/Chicago,2022-05-06,2023-12-13,,,,
KF450,West Palm Beach / Delta,US,FL,,KF45,26.8459,-80.2224,7.0,America/New_York,2020-01-14,2023-04-27,2020-01-14,2022-04-24,2020-01-01,2021-01-01
KMAE0,Madera / Notarb,US,CA,,KMAE,36.9886,-120.1124,78.0,America/Los_Angeles,2006-01-01,2023-12-13,2006-01-01,2022-04-24,2006-01-01,2021-01-01
72248,Shreveport Regional Airport,US,LA,72248,KSHV,32.45,-93.0,79.0,America/Chicago,1973-01-01,2023-12-13,1939-07-01,2023-12-05,1939-01-01,2022-01-01
KMQJ0,Indianapolis / Mount Comfort,US,IN,,KMQJ,39.8435,-85.8971,263.0,America/Indiana/Indianapolis,2020-01-14,2023-12-13,2020-01-14,2022-04-25,2020-01-01,2022-01-01
KJAU0,Jacksboro / De Lap,US,TN,,KJAU,36.3341,-84.163,360.0,America/New_York,2015-06-08,2023-12-13,2015-06-09,2022-03-31,2017-01-01,2022-01-01
KCMD0,Cullman,US,AL,,KCMD,34.2687,-86.858,295.0,America/Chicago,2020-01-14,2023-12-13,2020-01-14,2022-04-24,2020-01-01,2022-01-01
KTVI0,Thomasville / Dillon,US,GA,,KTVI,30.9018,-83.8811,81.0,America/New_York,2010-06-10,2023-12-13,2010-06-11,2022-04-25,2015-01-01,2022-01-01
72638,Roscommon County Airport,US,MI,72638,KHTL,44.35,-84.6667,351.0,America/Detroit,1973-01-01,2023-12-11,1964-07-01,2023-12-05,1964-01-01,2022-01-01
KSRC0,Searcy / Gum Springs (Historical),US,AR,,KSRC,35.2106,-91.7375,81.0,America/Chicago,2006-01-01,2023-12-13,2006-08-25,2022-04-24,2008-01-01,2021-01-01
KFLO0,Florence / Malibu,US,SC,,KFLO,34.1854,-79.7239,45.0,America/New_York,1973-01-01,2023-12-13,1973-01-01,2022-04-24,1999-01-01,2021-01-01
72538,Copper Harbor,US,MI,72538,KP59,47.4667,-87.8833,191.0,America/Detroit,2006-01-01,2023-12-13,2004-11-11,2023-12-05,2004-01-01,2022-01-01
70119,"Port Clarence, Port Clarence Coast Guard Station",US,AK,70119,PAPC,65.25,-166.85,3.0,America/Juneau,1973-01-01,2023-11-21,1895-07-21,1995-08-31,1895-01-01,1995-01-01
KFLD0,Fond Du Lac / Fond Du Lac,US,WI,,KFLD,43.7712,-88.4884,246.0,America/Chicago,1999-01-01,2023-12-13,1999-01-01,2022-04-24,2005-01-01,2022-01-01
KLVK0,Livermore / East Pleasanton,US,CA,,KLVK,37.6934,-121.8204,122.0,America/Los_Angeles,2000-01-01,2023-12-13,2000-01-02,2022-04-24,2000-01-01,2021-01-01
72319,Anderson / Greenbriar,US,SC,72319,KAND,34.4946,-82.7094,238.0,America/New_York,1973-01-01,2023-12-13,1899-06-01,2023-12-01,1899-01-01,2022-01-01
KEKS0,Ennis / Cameron,US,MT,,KEKS,45.2744,-111.6489,1653.0,America/Denver,2020-01-14,2023-12-13,2020-01-14,2022-04-24,2020-01-01,2022-01-01
04AEH,Norwich,US,NY,,KOIC,42.5665,-75.5242,312.0,America/New_York,2022-04-23,2023-12-13,2022-04-23,2022-04-26,,
KBTR0,Baton Rouge Metropolitan Airport,US,LA,72232,KBTR,30.5378,-91.1468,21.0,America/Chicago,2021-11-21,2023-12-13,2021-11-22,2022-04-25,2021-01-01,2021-01-01
KSYN0,Stanton,US,MN,,KSYN,44.4755,-93.0163,280.0,America/Chicago,2006-01-01,2023-12-13,2006-01-04,2022-04-24,2006-01-01,2022-01-01
KARR0,Aurora / Sugar Grove,US,IL,,KARR,41.7719,-88.4757,217.0,America/Chicago,2006-01-01,2023-12-13,2006-01-01,2022-04-24,2006-01-01,2022-01-01
KOZW0,Howell / Burkhart Ridge Mobile Home Park,US,MI,,KOZW,42.6294,-83.9822,293.0,America/Detroit,2006-01-01,2023-12-13,2006-01-01,2022-04-25,2007-01-01,2022-01-01
KFDW0,Winnsboro / Rion,US,SC,,KFDW,34.3155,-81.1088,176.0,America/New_York,2009-04-21,2023-12-13,2009-04-21,2022-04-24,2015-01-01,2022-01-01
KHYR0,Hayward,US,WI,,KHYR,46.0253,-91.4442,371.0,America/Chicago,2006-01-01,2023-12-13,2006-01-01,2022-04-24,2006-01-01,2021-01-01
KTMB0,Miami / Country Walk,US,FL,,KTMB,25.6479,-80.4328,3.0,America/New_York,2006-01-01,2023-12-13,2006-01-01,2022-04-24,2006-01-01,2021-01-01
N5DTT,Schaumburg Regional Airport,US,IL,,K06C,41.9893,-88.1012,244.0,America/Chicago,2022-05-06,2023-12-13,,,,
KCDA0,Lyndonville / Egypt,US,VT,,KCDA,44.5691,-72.018,362.0,America/New_York,2008-04-22,2023-12-13,2008-04-23,2022-04-24,2008-01-01,2022-01-01
KCPW0,Wolf Creek Pass / Lucky Seven Summer Homes,US,CO,,KCPW,37.4514,-106.8003,3584.0,America/Denver,2006-01-01,2023-12-13,2006-01-01,2022-04-24,2020-01-01,2022-01-01
72745,Duluth International Airport,US,MN,72745,KDLH,46.8333,-92.2167,435.0,America/Chicago,1948-01-01,2023-12-13,1948-01-01,2023-12-05,1948-01-01,2022-01-01
KCBM0,Columbus / Columbus Air Force Base,US,MS,,KCBM,33.6452,-88.4459,66.0,America/Chicago,1942-03-01,2023-12-13,1942-03-02,2022-04-24,1942-01-01,2021-01-01
72652,"Pickstown, Sd.",US,SD,72652,,43.0667,-98.5333,453.0,America/Chicago,,,1948-01-01,2017-04-16,1948-01-01,2017-01-01
72312,Greer Greenville Spartburg,US,SC,72312,KGSP,34.8833,-82.05,296.0,America/New_York,1973-01-01,2023-12-13,1962-10-15,2023-12-05,1962-01-01,2022-01-01
KMMV0,McMinnville / Eola Village,US,OR,,KMMV,45.1945,-123.1361,50.0,America/Los_Angeles,2006-01-01,2023-12-13,2006-01-01,2022-04-24,2006-01-01,2021-01-01
KSME0,Somerset / Bourbon,US,KY,,KSME,37.0536,-84.6156,283.0,America/New_York,2006-01-01,2023-12-13,2006-01-02,2022-04-25,2011-01-01,2022-01-01
KRCX0,Ladysmith / Tony,US,WI,,KRCX,45.4968,-91.0005,378.0,America/Chicago,2009-06-17,2023-12-13,2009-06-17,2022-04-24,2009-01-01,2022-01-01
72316,Alma / Guysie,US,GA,72316,KAMG,31.5361,-82.5066,61.0,America/New_York,1973-01-01,2023-12-13,1938-06-01,2023-12-05,1938-01-01,2022-01-01
KPCZ0,Waupaca,US,WI,,KPCZ,44.3332,-89.0198,256.0,America/Chicago,2006-01-01,2023-12-13,2006-01-04,2022-04-24,2008-01-01,2022-01-01
