date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2012-09-23,21,12,0.0,12.0,5,51,02:52 PM,No moonset,06:45 AM,06:51 PM,10,15,16,15,21,7,70,0.0,1016,21,10,312,13,New%20York
2012-11-08,6,1,0.5,6.0,1,24,12:26 AM,01:25 PM,06:35 AM,04:44 PM,-1,-2,3,-2,34,63,74,2.7,1010,6,8,328,20,New%20York
2010-06-23,31,21,0.0,12.0,6,80,06:24 PM,02:48 AM,05:24 AM,08:36 PM,23,29,29,26,33,39,87,9.0,1012,31,9,224,18,Ohio
2011-10-21,26,19,0.0,11.0,6,31,01:43 AM,03:04 PM,07:25 AM,06:43 PM,15,24,24,23,27,5,64,0.0,1020,26,10,159,16,Texas
2013-03-14,5,-1,0.0,12.0,2,12,08:28 AM,10:22 PM,07:15 AM,07:08 PM,-8,-4,1,-4,40,20,52,0.0,1016,5,10,294,22,Southeastern%20Michigan
2011-04-06,17,3,0.0,13.0,3,18,07:35 AM,10:34 PM,06:36 AM,07:31 PM,4,8,10,8,18,45,73,1.2,1011,17,10,289,8,Georgia
2009-09-13,24,12,0.0,13.0,5,27,12:31 AM,04:14 PM,06:54 AM,07:27 PM,12,18,18,18,18,21,75,0.0,1016,24,9,304,10,Northern%20Illinois
2009-11-09,18,8,0.0,10.0,4,42,11:54 PM,12:52 PM,06:40 AM,04:51 PM,11,13,13,13,14,17,88,0.0,1027,18,9,190,7,Southeastern%20Michigan
2013-02-20,-6,-10,0.0,2.0,1,69,01:16 PM,03:22 AM,07:02 AM,05:56 PM,-12,-16,-8,-16,48,82,78,0.0,1019,-6,3,281,27,Northern%20Illinois
2014-01-23,-18,-23,0.0,10.0,2,45,No moonrise,10:46 AM,07:18 AM,05:02 PM,-22,-31,-21,-31,32,29,90,0.0,1037,-18,10,295,20,Ohio
2011-10-07,26,16,0.0,11.0,6,67,04:21 PM,02:52 AM,07:07 AM,06:36 PM,12,21,21,21,38,17,64,0.0,1022,26,10,166,21,Illinois
2010-02-13,11,1,0.0,11.0,3,0,06:36 AM,05:59 PM,07:00 AM,06:07 PM,3,4,6,4,14,2,80,0.0,1020,11,10,224,8,Texas
2012-09-07,28,22,0.0,12.0,6,46,11:28 PM,01:19 PM,06:40 AM,07:23 PM,21,27,27,25,18,14,77,0.6,1012,28,10,116,11,Virginia
2009-03-12,1,-5,0.0,12.0,2,90,09:29 PM,07:54 AM,07:32 AM,07:19 PM,-10,-6,-2,-6,22,20,54,0.0,1033,1,10,304,11,Northern%20California
2014-03-17,1,-7,0.0,12.0,2,89,08:36 PM,07:35 AM,07:20 AM,07:21 PM,-18,-7,-3,-7,18,47,35,0.0,1019,1,10,104,9,Pennsylvania
2013-03-13,9,1,0.0,10.0,1,5,07:56 AM,09:22 PM,07:17 AM,07:07 PM,-1,1,5,1,28,27,69,0.5,1013,9,10,287,17,Southeastern%20Michigan
2009-11-10,17,11,0.0,3.0,3,35,No moonrise,01:15 PM,06:37 AM,04:42 PM,12,13,14,13,15,69,88,0.0,1024,17,8,145,8,New%20York
2009-02-16,7,1,0.0,9.0,1,44,12:47 AM,10:43 AM,07:02 AM,06:01 PM,-1,2,4,2,22,48,67,0.5,1023,7,9,160,12,Southern%20California
2011-08-08,26,19,0.0,12.0,5,60,04:05 PM,12:32 AM,06:01 AM,08:11 PM,17,22,23,22,13,66,85,11.4,1015,26,7,111,6,Georgia
