date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2014-06-30,30,22,0.0,10.0,6,16,08:49 AM,10:31 PM,05:34 AM,08:41 PM,24,29,29,26,33,63,92,28.8,1006,30,7,198,16,Illinois
2014-07-01,26,18,0.0,15.0,6,23,09:46 AM,11:01 PM,05:34 AM,08:41 PM,17,21,22,21,31,19,82,0.0,1007,26,10,265,17,Illinois
2014-07-02,18,14,0.0,5.0,4,30,10:42 AM,11:30 PM,05:35 AM,08:41 PM,14,16,16,16,23,81,90,1.1,1015,18,7,297,13,Illinois
2014-06-09,27,16,0.0,9.0,5,81,03:27 PM,02:33 AM,05:38 AM,06:38 PM,18,21,21,21,8,65,83,13.7,1012,27,8,197,3,Alberta
2014-06-03,23,16,0.0,8.0,4,35,10:30 AM,11:13 PM,05:37 AM,06:37 PM,18,20,20,20,8,73,87,22.8,1009,23,8,127,3,Alberta
2014-06-03,28,24,0.0,14.0,6,35,11:29 AM,No moonset,06:20 AM,08:16 PM,23,29,29,26,23,31,84,0.0,1014,28,10,122,14,Texas
2014-05-23,29,17,0.0,14.0,6,31,02:49 AM,03:23 PM,06:06 AM,08:23 PM,15,24,24,23,22,10,66,0.0,1015,29,9,312,12,North%20Carolina
2014-05-24,25,13,0.0,14.0,5,24,03:26 AM,04:26 PM,06:05 AM,08:24 PM,10,19,20,19,17,3,61,0.0,1019,25,10,273,8,North%20Carolina
2014-05-25,27,13,0.0,14.0,6,17,04:02 AM,05:29 PM,06:05 AM,08:24 PM,13,20,21,20,14,26,69,0.0,1021,27,9,197,6,North%20Carolina
2014-04-24,31,14,0.0,11.0,5,21,02:12 AM,02:24 PM,05:49 AM,06:25 PM,14,23,23,22,9,25,64,4.4,1012,31,9,215,3,Alberta
2014-04-12,22,10,0.0,12.0,4,89,05:01 PM,04:41 AM,06:12 AM,07:25 PM,11,15,16,15,40,47,72,0.2,1012,22,10,193,22,Michigan
2014-04-13,19,15,0.0,3.0,4,96,06:02 PM,05:11 AM,06:11 AM,07:26 PM,15,17,17,17,40,83,90,7.4,1004,19,9,201,20,Michigan
2014-04-14,16,-1,0.0,1.0,1,100,07:05 PM,05:42 AM,06:09 AM,07:28 PM,3,1,5,1,46,90,86,12.7,1007,16,6,267,25,Michigan
2014-04-15,1,-3,0.0,13.0,2,89,08:09 PM,06:15 AM,06:07 AM,07:29 PM,-8,-5,-1,-5,26,31,60,0.3,1020,1,9,288,15,Michigan
2014-03-20,10,1,0.0,13.0,3,67,11:27 PM,09:03 AM,06:59 AM,07:08 PM,2,2,6,2,31,38,79,4.8,1010,10,9,280,18,New%20York
2014-03-12,31,22,0.0,11.0,6,75,02:26 PM,02:18 AM,05:48 AM,05:52 PM,21,29,29,26,10,44,73,1.0,1011,31,9,82,6,North%20Carolina
2014-03-13,31,22,0.0,8.0,6,82,03:13 PM,03:02 AM,05:48 AM,05:51 PM,22,29,29,26,10,43,77,7.0,1011,31,8,73,5,North%20Carolina
2014-03-03,-3,-10,2.4,1.0,1,9,07:34 AM,08:51 PM,06:27 AM,05:50 PM,-10,-13,-7,-13,26,71,76,3.5,1023,-3,6,344,17,New%20York
2014-02-12,-3,-6,23.9,3.0,1,89,04:10 PM,05:23 AM,07:08 AM,05:56 PM,-9,-10,-4,-10,30,65,71,24.2,1026,-3,6,47,19,North%20Carolina
2014-02-13,1,-4,17.3,1.0,1,97,05:04 PM,05:59 AM,07:07 AM,05:57 PM,-2,-6,-1,-6,35,76,96,18.4,1003,1,5,167,19,North%20Carolina
2014-02-14,9,-3,0.0,10.0,1,100,05:59 PM,06:33 AM,07:06 AM,05:58 PM,2,-1,2,-1,29,29,93,0.0,1008,9,10,231,15,North%20Carolina
2014-02-15,3,-5,0.0,8.0,1,88,06:55 PM,07:06 AM,07:05 AM,05:59 PM,-1,-4,1,-4,31,55,91,9.6,1009,3,7,278,16,North%20Carolina
2014-02-07,5,2,0.0,6.0,1,51,12:20 PM,01:18 AM,07:05 AM,06:03 PM,0,-1,3,-1,23,72,80,0.7,1026,5,10,70,18,Texas
2014-02-06,12,3,0.0,11.0,2,44,11:02 AM,12:07 AM,06:47 AM,05:26 PM,-1,4,7,4,32,37,61,0.4,1015,12,10,254,19,California
2014-02-06,12,3,0.0,11.0,2,44,11:02 AM,12:07 AM,06:47 AM,05:26 PM,-1,4,7,4,32,37,61,0.4,1015,12,10,254,19,California
