,Event Description,Year,Date Event Began,Date of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags,Time Event Began,Time of Restoration
367,Severe Weather - Thunderstorms,2012,9/8/2012,9/8/2012,PEPCO (Potomac Electric Power Company),"Prince George's County, Montgomery County Maryland; D.C.",RFC,UNK,"65,000","severe weather, thunderstorm",15:40:00,18:45:00
368,Severe Weather - Thunderstorms,2012,9/7/2012,9/8/2012,Entergy Corp,Arkansas,SERC,UNK,"64,951","severe weather, thunderstorm",21:30:00,01:00:00
369,Fuel Supply Deficiency (Water),2012,9/6/2012,Ongoing,California Department of Water Resources,"Oroville, California",WECC,,,"fuel supply emergency, hydro",04:45:00,
370,Electrical System Separation (Islanding),2012,9/5/2012,9/5/2012,WECC Reliability Coordinator,"Alberta, Canada",WECC,0,0,islanding,10:56:00,11:27:00
371,Severe Weather - Hurricane Isaac,2012,8/29/2012,8/30/2012,Dixie Electric Membership Corp,Louisiana,SERC,150,"68,018","severe weather, hurricane/tropical storm",06:53:00,14:00:00
372,Severe Weather - Hurricane Isaac,2012,8/29/2012,8/31/2012,Cleco Power LLC,Louisiana,SPP,Unknown,"95,000","severe weather, hurricane/tropical storm",09:48:00,12:55:00
373,Severe Weather - Hurricane Isaac,2012,8/29/2012,8/31/2012,Louisiana Generating LLC,Louisiana,SERC,300,"50,000","severe weather, hurricane/tropical storm",09:00:00,12:00:00
374,Severe Weather - Hurricane Isaac,2012,8/28/2012,9/4/2012,Entergy,"Arkansas, Louisiana, Mississippi",SERC,Unknown,"770,000","severe weather, hurricane/tropical storm",06:00:00,08:00:00
375,Severe Weather - TS Isaac,2012,8/26/2012,8/27/2012,Florida Power & Light,Florida,FRCC,,"440,000","severe weather, hurricane/tropical storm",22:04:00,02:04:00
376,Suspected Physical Attack,2012,8/19/2012,8/19/2012,El Paso Electric Co,"El Paso, Texas",WECC,12,"3,314","vandalism, physical",08:42:00,12:08:00
377,Vandalism,2012,8/16/2012,8/16/2012,Northern Indiana Public Service Company,Northern Indiana,RFC,0,0,vandalism,13:13:00,13:13:00
378,Severe Weather - Dust Storm; Load Shed Event,2012,8/13/2012,8/13/2012,WECC Reliability Coordinator,CFE (Mexico & U.S.),WECC,655,Unknown,"severe weather, dust, load shedding",15:52:00,19:44:00
379,Vandalism,2012,8/13/2012,8/13/2012,Tennessee Valley Authority,"Knoxville, Tennessee",SERC,Unknown,Unknown,vandalism,13:15:00,13:15:00
380,Suspected Physical Attack,2012,8/11/2012,8/11/2012,"City of Tacoma, TPWR","Tacoma, Washington",WECC,,,"vandalism, physical",12:45:00,17:00:00
381,Severe Weather - Thunderstorms,2012,8/4/2012,8/5/2012,Exelon Corporation/ComEd,Northeast Illinois,RFC,Unknown,"325,000","severe weather, thunderstorm",17:30:00,12:10:00
382,Severe Weather - Thunderstorms,2012,8/4/2012,8/4/2012,Northern Indiana Public Service Company,Northern Indiana,RFC,,"61,413","severe weather, thunderstorm",04:00:00,07:20:00
383,Electrical System Separation (Islanding),2012,8/4/2012,8/4/2012,Pacific Gas & Electric Co,"Temblor Substation in McKittrick, California",WECC,5,127,islanding,03:55:00,04:21:00
384,Public Appeal to Reduce Electricity Usage,2012,8/1/2012,8/1/2012,Oklahoma Gas & Electric Co,"Oklahoma, Arkansas",SPP,Unknown,Unknown,public appeal,12:00:00,12:00:00
385,Severe Weather - Thunderstorms,2012,7/27/2012,7/28/2012,Duke Energy Midwest,Central Indiana,RFC,Unknown,"52,702","severe weather, thunderstorm",17:19:00,17:19:00
386,Severe Weather - Thunderstorms,2012,7/26/2012,7/28/2012,PPL Electric Utilities Corp,North/Central Pennsylvania,RFC,,"65,000","severe weather, thunderstorm",18:21:00,23:30:00
387,Severe Weather - Thunderstorms,2012,7/26/2012,7/27/2012,FirstEnergy Corp.: Pennsylvania Electric Company,Western Pennsylvania,RFC,,"65,112","severe weather, thunderstorm",18:14:00,18:14:00
388,Severe Weather - Thunderstorms,2012,7/26/2012,7/27/2012,American Electric Power (AEP),Eastern Ohio,RFC,Unknown,"57,054","severe weather, thunderstorm",18:30:00,17:22:00
389,Severe Weather - Thunderstorms,2012,7/24/2012,7/24/2012,Exelon Corporation/ComEd,Northern Illinois,RFC,Unknown,"330,000","severe weather, thunderstorm",07:30:00,22:00:00
390,Severe Weather - Thunderstorms,2012,7/24/2012,7/24/2012,Northern Indiana Public Service Company,Northern Indiana,RFC,,"82,621","severe weather, thunderstorm",07:01:00,16:30:00
391,Severe Weather; Equipment Failure,2012,7/21/2012,7/21/2012,Lubbock Power and Light,"City of Lubbock, Texas",SPP,220,"70,000","severe weather, equipment failure",02:19:00,05:20:00
392,Vandalism,2012,7/19/2012,7/19/2012,Delmarva Power & Light Company,"Newark, Delaware",RFC,,,vandalism,12:32:00,12:33:00
393,Fuel Supply Deficiency (Coal),2012,7/19/2012,7/31/2012,Somerset Operating Company,"Niagara County, New York",NPCC,675,Unknown,"fuel supply emergency, coal",10:30:00,11:00:00
394,Severe Weather - Thunderstorms,2012,7/18/2012,7/19/2012,Duke Energy Midwest,"Southeast Ohio, Northern Kentucky, Southern Indiana",RFC,480,"103,000","severe weather, thunderstorm",14:16:00,23:58:00
395,Severe Weather - Thunderstorms,2012,7/18/2012,7/18/2012,American Electric Power (AEP),Eastern Ohio,RFC,Unknown,"67,000","severe weather, thunderstorm",16:20:00,19:05:00
396,Severe Weather - Thunderstorms,2012,7/18/2012,7/19/2012,Exelon Corporation/ComEd,Northern Illinois,RFC,Unknown,"181,000","severe weather, thunderstorm",23:00:00,06:00:00
397,Public Appeal to Reduce Energy Usage,2012,7/16/2012,7/16/2012,North Little Rock Electric Department,"Little Rock, Arkansas",SPP,,,public appeal,11:27:00,12:29:00
398,Energy Deficiency Alert,2012,7/9/2012,7/9/2012,WECC RC Vancouver,"Alberta, Canada",WECC,9896,Unknown,energy deficiency alert,12:15:00,16:14:00
399,Severe Weather - Thunderstorms,2012,7/7/2012,7/9/2012,PPL Electric Utilities Corp,"Lower Valley, Central, Susquehanna Regions Pennsylvania",RFC,,"64,500","severe weather, thunderstorm",06:06:00,23:00:00
400,Severe Weather - Thunderstorms,2012,7/7/2012,7/9/2012,FirstEnergy Corp. Jersey Central Power & Light,Central and Northern New Jersey,RFC,,"95,400","severe weather, thunderstorm",18:00:00,19:01:00
401,Fuel Supply Deficiency (Water),2012,7/7/2012,7/10/2012,California Department of Water Resources,CAISO California,WECC,Unknown,0,"fuel supply emergency, hydro",04:00:00,04:00:00
402,Vandalism,2012,7/6/2012,7/6/2012,City of Tacoma - TPWR,"Tacoma, Washington",WECC,,,vandalism,15:05:00,15:06:00
403,Severe Weather - Thunderstorms,2012,7/5/2012,7/6/2012,Consumers Energy,Lower Peninsula Michigan,RFC,Unknown,"111,000","severe weather, thunderstorm",00:00:00,20:30:00
404,Severe Weather - Wind & Storms,2012,7/5/2012,7/6/2012,Tennessee Valley Authority (TVA),Northeast Tennessee,SERC,,"50,001","severe weather, wind, storm",19:00:00,16:00:00
405,Operational Failure; Storm Damage,2012,7/1/2012,7/1/2012,North Carolina Municipal Power Agency #1,"Tarboro, North Carolina",SERC,48,"6,100","equipment failure, severe weather, storm",16:47:00,23:00:00
406,Severe Weather,2012,7/1/2012,7/1/2012,"Progress Energy, Carolinas","Northern, Central and Eastern North Carolina",SERC,Unknown,"69,106",severe weather,17:45:00,22:15:00
407,Severe Weather - Thunderstorms,2012,7/1/2012,7/3/2012,Exelon Corporation/ComEd,Illinois,RFC,Unknown,"320,000","severe weather, thunderstorm",13:00:00,15:00:00
408,Severe Weather - Thunderstorms,2012,6/30/2012,7/7/2012,Atlantic City Electric,Atlantic City Electric Service Territory New Jersey,RFC,UNK,"205,000","severe weather, thunderstorm",01:15:00,17:33:00
409,Public Appeal to Reduce Electricity Usage,2012,6/30/2012,7/2/2012,Tennessee Valley Authority (TVA),Northeast Tennessee,SERC,UNK,UNK,public appeal,15:00:00,12:00:00
410,Severe Weather - Thunderstorms,2012,6/30/2012,7/2/2012,"Southern Maryland Electric Cooperative, Inc.","Calvert, Charles, St. Mary's, Prince Georges Counties Maryland",RFC,354,"60,000","severe weather, thunderstorm",22:30:00,08:11:00
411,Severe Weather - Thunderstorms,2012,6/30/2012,7/3/2012,Delmarva Power & Light Company,Delaware; Maryland,RFC,0,"86,390","severe weather, thunderstorm",01:00:00,01:00:00
412,Severe Weather - Thunderstorms,2012,6/29/2012,7/2/2012,Duke Energy Midwest,Eastern Indiana; Northern Kentucky; Greater Cincinnati area Ohio,RFC,"2,946","4,645,572","severe weather, thunderstorm",17:15:00,23:59:00
413,Public Appeal to Reduce Electricity Usage,2012,6/29/2012,6/29/2012,Entergy,"Eastern, Arkansas",SERC,45,"7,935",public appeal,16:00:00,21:00:00
414,Severe Weather - Thunderstorms,2012,6/29/2012,7/7/2012,FirstEnergy (Potomac Edison),Maryland; West Virginia,RFC,UNK,"145,000","severe weather, thunderstorm",19:00:00,19:43:00
415,Severe Weather - Thunderstorms,2012,6/29/2012,7/4/2012,Dayton Power & Light,"Dayton, Ohio",RFC,500,"175,000","severe weather, thunderstorm",14:10:00,18:00:00
416,Equipment Trip & Failure,2012,6/29/2012,6/29/2012,Puerto Rico Electric Power Authority (PREPA),Puerto Rico,PR,"1,800","900,000",equipment failure,12:10:00,17:02:00
417,Severe Weather - Thunderstorms,2012,6/29/2012,7/2/2012,American Electric Power (AEP),Indiana; Michigan; Ohio; West Virginia,RFC,UNK,"1,355,919","severe weather, thunderstorm",16:00:00,16:00:00
418,Severe Weather - Thunderstorms,2012,6/29/2012,7/4/2012,Dominion,Virginia,SERC,"5,000","880,000","severe weather, thunderstorm",22:29:00,15:36:00
419,Severe Weather - Thunderstorms,2012,6/29/2012,7/5/2012,Pepco,"Montgomery and Prince Georges Counties, Maryland; District of Columbia",RFC,"3,000","425,000","severe weather, thunderstorm",22:15:00,12:52:00
420,Severe Weather - Thunderstorms,2012,6/29/2012,7/5/2012,Baltimore Gas & Electric Company (BGE),"Greater Baltimore area, Maryland",RFC,"1,465","600,000","severe weather, thunderstorm",22:43:00,11:50:00
421,Physical Attack,2012,6/29/2012,6/29/2012,Delmarva Power & Light Company,"New Castle, Delaware",RFC,0,0,"vandalism, physical",10:45:00,10:45:00
422,Severe Weather - Thunderstorms,2012,6/29/2012,7/6/2012,FirstEnergy (Mon Power),West Virginia,RFC,700,"265,000","severe weather, thunderstorm",18:24:00,10:00:00
423,Severe Weather - Thunderstorms,2012,6/29/2012,6/30/2012,Exelon Corporation/ComEd,Northeast Illinois,RFC,UNK,"109,000","severe weather, thunderstorm",23:30:00,02:00:00
424,Severe Weather - Wind & Rain,2012,6/25/2012,6/26/2012,Dominion,Central Virginia,SERC,600,"190,000","severe weather, wind, rain",16:04:00,13:45:00
425,Load Shed,2012,6/23/2012,6/23/2012,ISO New England,"North Shore, Massachusetts",NPCC,51,"29,250",load shedding,18:57:00,19:28:00
426,Severe Weather - Thunderstorms,2012,6/19/2012,6/20/2012,Xcel Energy,"Minneapolis/St. Paul, Minnesota",MRO,UNK,"68,200","severe weather, thunderstorm",04:30:00,23:00:00
427,Fuel Supply Deficiency (Water),2012,6/19/2012,6/21/2012,California Department of Water Resources,CAISO Territory California,WECC,UNK,UNK,"fuel supply emergency, hydro",05:30:00,05:30:00
428,Vandalism,2012,6/13/2012,6/13/2012,Public Service Company of New Mexico,"San Juan County, New Mexico",WECC,0,0,vandalism,16:55:00,22:09:00
429,Severe Weather - Thunderstorms,2012,6/12/2012,6/14/2012,CenterPoint Energy,"Houston, Texas",TRE,920,"175,000","severe weather, thunderstorm",15:57:00,04:57:00
430,Severe Weather - Thunderstorms,2012,6/11/2012,6/12/2012,Southern Company,North/Central Alabama; North/Central Georgia,SERC,368,"110,591","severe weather, thunderstorm",19:50:00,15:00:00
431,Load Shed,2012,6/8/2012,6/8/2012,Public Service Company of Colorado,"Denver Metro Area, Colorado",WECC,120,"30,379",load shedding,17:20:00,17:25:00
432,Vandalism,2012,6/6/2012,6/6/2012,Potomac Electric Power Company (PEPCO),"Columbia Heights, NW, Washington DC",RFC,0,0,vandalism,12:37:00,12:37:00
433,Vandalism,2012,6/6/2012,6/6/2012,New York Power Authority,"Delhi, New York",NPCC,,,vandalism,08:00:00,08:00:00
434,Vandalism,2012,6/2/2012,6/2/2012,Pacific Gas and Electric Company,"San Francisco, California",WECC,,,vandalism,07:30:00,11:35:00
435,Physical Attack,2012,5/31/2012,6/1/2012,American Electric Power (AEP),"Columbus, Ohio",RFC,0,0,"vandalism, physical",23:45:00,04:30:00
436,Physical Attack,2012,5/29/2012,5/29/2012,Tacoma Power (TPWR),"Alder Dam, Pierce County, Washington",WECC,,,"vandalism, physical",18:30:00,19:40:00
437,Severe Weather - Thunderstorms,2012,5/29/2012,5/31/2012,Oklahoma Gas & Electric,"Oklahoma City Metro Area, Oklahoma",SPP,UNK,"112,000","severe weather, thunderstorm",20:35:00,10:00:00
438,Physical Attack,2012,5/24/2012,5/25/2012,ISO New England,"Tyngsborough, Massachusetts",NPCC,UNK,UNK,"vandalism, physical",15:20:00,17:29:00
439,Vandalism,2012,5/11/2012,5/11/2012,Tacoma Power (TPWR),"Lakewood, Washington",WECC,,,vandalism,11:05:00,11:20:00
440,Load Shed/Severe Weather  - Lightning Storm,2012,5/7/2012,5/7/2012,American Electric Power (AEP),Eastern Ohio,RFC,420,1,"load shedding, severe weather, thunderstorm",17:45:00,18:06:00
441,Vandalism,2012,5/7/2012,5/7/2012,ISO New England,"Williston, Vermont",NPCC,0,0,vandalism,12:50:00,14:00:00
442,Suspected Physical Attack,2012,4/23/2012,4/23/2012,Seattle City Light,"Snohomish County, Washington",WECC,,,"vandalism, physical",11:56:00,15:35:00
443,Suspected Physical Attack,2012,4/23/2012,4/23/2012,Northern Indiana Public Service Company (NIPSCO),Northwest Indiana,RFC,,,"vandalism, physical",08:11:00,12:47:00
444,Physical Attack,2012,4/21/2012,4/21/2012,ISO New England,"East Bridgewater, Massachusetts",NPCC,,,"vandalism, physical",15:02:00,20:09:00
445,Suspected Physical Attack,2012,4/21/2012,4/23/2012,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical",20:55:00,16:30:00
446,Severe Weather - Thunderstorms,2012,4/20/2012,4/21/2012,CenterPoint Energy,"Metropolitan Houston, Texas",TRE,,"120,377","severe weather, thunderstorm",14:27:00,04:27:00
447,Suspected Physical Attack,2012,4/19/2012,4/19/2012,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical",07:53:00,16:00:00
448,Suspected Physical Attack,2012,4/17/2012,4/17/2012,San Diego Gas & Electric Company,"San Diego County, California",WECC,0,0,"vandalism, physical",06:11:00,17:48:00
449,Severe Weather - High Winds,2012,4/16/2012,4/19/2012,"Detroit Edison, Subsidiary of DTE Energy","Southeast, Michigan",RFC,218,"111,393","severe weather, wind",15:46:00,02:00:00
450,Suspected Physical Attack,2012,4/15/2012,4/15/2012,Southern Company,Georgia,SERC,UNK,UNK,"vandalism, physical",19:38:00,21:26:00
451,Suspected Physical Attack,2012,4/12/2012,4/12/2012,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical",08:08:00,16:30:00
452,Vandalism,2012,4/11/2012,4/11/2012,North Attleborough Electric Department,"North Attleboro, Massachusetts",NPCC,0,0,vandalism,09:00:00,09:00:00
453,Physical Attack,2012,4/7/2012,4/7/2012,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical",14:35:00,14:36:00
454,Physical Attack,2012,4/7/2012,4/7/2012,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical",12:25:00,12:26:00
455,Physical Attack,2012,4/7/2012,4/7/2012,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical",09:31:00,09:32:00
456,Suspected Physical Attack,2012,4/4/2012,4/6/2012,Western Area Power Authority - Sierra Nevada Region (WASN),"WAPA-SNR Regional Office, California",WECC,,,"vandalism, physical",15:32:00,15:30:00
457,Physical Attack,2012,4/3/2012,4/3/2012,Seattle City Light,"Seattle, Washington",WECC,0,0,"vandalism, physical",15:33:00,20:25:00
458,Vandalism,2012,4/3/2012,4/3/2012,ISO New England,"West Rutland, Vermont",NPCC,0,0,vandalism,11:10:00,11:25:00
459,Vandalism,2012,4/1/2012,4/3/2012,Mid American Energy Company,"Council Bluffs, Iowa",MRO,0,0,vandalism,20:27:00,08:28:00
460,Suspected Physical Attack,2012,3/30/2012,3/30/2012,ISO New England,Vermont,NPCC,,,"vandalism, physical",11:10:00,11:30:00
461,Electrical System Separation (Islanding),2012,3/29/2012,3/29/2012,Lansing Board of Water & Light,"Lansing, Michigan",RFC,UNK,0,islanding,12:01:00,12:02:00
462,Suspected Physical Attack,2012,3/28/2012,3/28/2012,Tacoma Power (TPWR),"Graham, Washington",WECC,,,"vandalism, physical",10:17:00,10:17:00
463,Suspected Physical Attack,2012,3/26/2012,3/26/2012,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical",13:24:00,13:24:00
464,Suspected Physical Attack,2012,3/23/2012,3/23/2012,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical",19:34:00,19:34:00
465,Severe Weather - Thunderstorms,2012,3/20/2012,3/20/2012,CenterPoint Energy,"Houston, Texas",TRE,,"96,000","severe weather, thunderstorm",08:00:00,13:00:00
466,Suspected Physical Attack,2012,3/16/2012,3/16/2012,Delmarva Power & Light Company,"New Castle, Delaware",RFC,0,0,"vandalism, physical",16:00:00,16:00:00
467,Suspected Physical Attack,2012,3/4/2012,3/5/2012,Entergy Corporation,Texas,SERC,UNK,UNK,"vandalism, physical",13:38:00,11:00:00
468,Suspected Physical Attack,2012,3/4/2012,3/4/2012,Potomac Electric Power (Pepco Holdings Inc.),"Prince Georges County, Maryland",RFC,,,"vandalism, physical",01:27:00,06:58:00
469,Severe Weather - Winter Storm,2012,3/2/2012,3/4/2012,Consumers Energy,"Lower Peninsula, Michigan",RFC,50,"140,000","severe weather, winter storm",21:00:00,17:30:00
470,Severe Weather - Winter Storm,2012,3/2/2012,3/5/2012,"Detroit Edison, Subsidiary of DTE Energy","Southeastern, Michigan",RFC,371,"130,000","severe weather, winter storm",21:00:00,16:30:00
471,Operational Failure/Equipment Malfunction,2012,3/2/2012,3/2/2012,"City of Piggott, Arkansas","Piggott, Arkansas",SERC,,,equipment failure,13:45:00,15:30:00
472,Severe Weather - Tornadoes,2012,3/2/2012,3/5/2012,Tennessee Valley Authority (TVA),Northern Alabama; Southeast Tennessee,SERC,500,UNK,"severe weather, tornado",12:37:00,12:01:00
473,Suspected Physical Attack,2012,2/28/2012,2/28/2012,Coos Curry Electric Cooperative,Coos County Oregon,WECC,UNK,UNK,"vandalism, physical",07:00:00,07:00:00
474,Electrical System Separation (Islanding),2012,2/28/2012,2/28/2012,Pacific Gas and Electric,"Sacramento, California",WECC,1,1,islanding,02:59:00,06:12:00
475,Suspected Physical Attack,2012,2/24/2012,2/24/2012,Tacoma Power (TPWR),"Spanaway, Washington",WECC,,,"vandalism, physical",11:24:00,11:49:00
476,Suspected Physical Attack,2012,2/23/2012,2/23/2012,City of College Station,"South East College Station, Texas",TRE,0,0,"vandalism, physical",05:45:00,15:02:00
477,Suspected Physical Attack,2012,2/23/2012,2/24/2012,ISO New England,"Londonderry, New Hampshire",NPCC,0,0,"vandalism, physical",23:12:00,01:00:00
478,Severe Weather - Winter Storm,2012,2/19/2012,2/21/2012,American Electric Power,"Kentucky, Virginia, West Virginia",SERC,UNK,"90,000","severe weather, winter storm",17:00:00,07:33:00
479,Suspected Cyber Attack,2012,2/17/2012,2/17/2012,"Entergy Services, Inc","Little Rock, Arkansas",SERC,UNK,UNK,"vandalism, cyber",03:00:00,11:33:00
480,Suspected Physical Attack,2012,2/15/2012,2/15/2012,Puget Sound Energy,"Port Orchard, Washington",WECC,0,0,"vandalism, physical",05:33:00,17:30:00
481,Suspected Physical Attack,2012,2/14/2012,2/15/2012,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical",19:20:00,16:00:00
482,Suspected Physical Attack,2012,2/13/2012,2/13/2012,Progress Energy Carolinas,"Asheville, North Carolina",SERC,,,"vandalism, physical",07:02:00,16:25:00
483,Suspected Physical Attack,2012,2/11/2012,2/11/2012,Xcel Energy (Public Service Company of Colorado),"Lamar, Colorado",WECC,0,0,"vandalism, physical",08:47:00,10:30:00
484,Suspected Physical Attack,2012,2/11/2012,2/11/2012,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical",08:55:00,08:55:00
485,Vandalism,2012,1/29/2012,1/29/2012,Tacoma Power (TPWR),"Roosevelt Substation, Tacoma, Washington",WECC,,,vandalism,12:45:00,12:45:00
486,Vandalism,2012,1/27/2012,1/27/2012,Tacoma Power (TPWR),"Frederickson Substation, Spanaway, Washington",WECC,,,vandalism,09:40:00,09:40:00
487,Vandalism,2012,1/24/2012,1/24/2012,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,vandalism,11:22:00,11:22:00
488,Severe Weather - Winter Storm,2012,1/19/2012,1/20/2012,Puget Sound Energy,"King, Pierce and Thurston Counties, Washington",WECC,"1,600","426,000","severe weather, winter storm",07:00:00,15:00:00
489,Suspected Cyber Attack,2012,1/17/2012,1/17/2012,"Pedernales Electric Cooperative, Inc.","Austin, Texas",TRE,,0,"vandalism, cyber",10:31:00,17:21:00
490,Vandalism,2012,1/15/2012,1/15/2012,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,vandalism,09:35:00,09:35:00
491,Physical Attack,2012,1/13/2012,1/13/2012,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical",09:20:00,09:20:00
492,Physical Attack,2012,1/12/2012,1/12/2012,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical",08:26:00,08:26:00
493,Suspected Physical Attack,2012,1/11/2012,1/11/2012,Nevada Power Company (NV Energy),Nevada,WECC,0,0,"vandalism, physical",07:19:00,09:07:00
494,Load Shed,2012,1/10/2012,1/10/2012,Luminant Energy Company LLC,"Rusk County, Texas",TRE,,,load shedding,21:30:00,21:30:00
495,Vandalism,2012,1/9/2012,1/9/2012,ISO New England/Convex,"Watertown, Connecticut",NPCC,,,vandalism,14:30:00,15:30:00
496,Load Shed,2012,1/9/2012,1/11/2012,The Dow Chemical Company,Louisiana,SERC,150,1,load shedding,13:36:00,01:05:00
497,Sabotage,2012,1/5/2012,1/5/2012,American Electric Power,"CSWS/AEP West territory, Oklahoma",SPP,0,0,vandalism,10:35:00,12:25:00
498,Suspected physical attack,2012,1/5/2012,1/5/2012,Oklahoma Gas and Electric,"Creek County, Oklahoma",SPP,,,"vandalism, physical",10:28:00,12:25:00
499,Suspected physical attack,2012,1/4/2012,1/4/2012,Tacoma Power (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical",12:14:00,12:14:00
500,Suspected Physical Attack,2011,12/31/2011,12/31/2011,City of Tacoma (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical",21:26:00,21:26:00
501,Suspected Cyber Attack,2011,12/21/2011,12/21/2011,Idaho Power Company,"Boise, Idaho",WECC,0,0,"vandalism, cyber",10:30:00,10:30:00
502,Suspected Physical Attack,2011,12/20/2011,12/20/2011,City of Tacoma (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical",09:30:00,09:31:00
503,Suspected Physical Attack,2011,12/20/2011,12/20/2011,PacifiCorp,"Sweet Home, Oregon",WECC,12,"2,500","vandalism, physical",07:45:00,08:45:00
504,Suspected Physical Attack,2011,12/19/2011,12/19/2011,City of Tacoma (TPWR),"Croft Substation, Tacoma, Washington",WECC,,,"vandalism, physical",08:48:00,16:00:00
505,Suspected Physical Attack,2011,12/13/2011,12/14/2011,Dayton Power & Light,Clinton County Ohio,RFC,,0,"vandalism, physical",03:19:00,03:19:00
506,Suspected Physical Attack,2011,12/8/2011,12/8/2011,City of Tacoma (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical",08:45:00,16:30:00
507,Severe Weather,2011,12/7/2011,12/7/2011,Dominion Virginia Power,Central Virginia,SERC,240,"60,000",severe weather,19:29:00,22:57:00
508,Public Appeal to Reduce Electricity Usage,2011,12/6/2011,12/6/2011,Montana Dakota Utilities,"Bismarck-Mandan, North Dakota",MRO,155,"34,500",public appeal,08:00:00,20:00:00
509,Suspected Physical Attack,2011,12/6/2011,12/7/2011,ITC Holdings,"Montague, Michigan",RFC,0,0,"vandalism, physical",17:38:00,11:04:00
510,Suspected Physical Attack,2011,12/5/2011,12/6/2011,City of Tacoma (TPWR),"Tacoma, Washington",WECC,,,"vandalism, physical",14:00:00,17:00:00
511,Suspected Physical Attack,2011,12/2/2011,12/2/2011,Luminant Energy Company LLC,Rusk County Texas,TRE,,,"vandalism, physical",16:15:00,20:30:00
512,Severe Weather,2011,12/1/2011,12/7/2011,Southern California Edison (SCE),Southern California,WECC,UNK,"91,690",severe weather,00:45:00,21:00:00
513,Severe Weather,2011,12/1/2011,12/2/2011,PacifiCorp,Wasatch Front Area Utah,WECC,UNK,"60,000",severe weather,10:00:00,13:11:00
514,Severe Weather,2011,12/1/2011,12/2/2011,Pacific Gas and Electric,Northern California,WECC,300,"100,000",severe weather,03:29:00,13:05:00
515,Vandalism,2011,11/30/2011,11/30/2011,City of Tacoma - TPWR,"Orchard Substation, Washington",WECC,0,0,vandalism,10:00:00,11:00:00
516,Severe Weather,2011,11/30/2011,12/2/2011,Los Angeles Department of Water and Power,"City of Los Angeles, California",WECC,UNK,"150,000",severe weather,16:56:00,10:00:00
517,Suspected Physical Attack,2011,11/22/2011,11/22/2011,Northern Indiana Public Service Co,Indiana,RFC,0,0,"vandalism, physical",23:16:00,23:16:00
518,Vandalism,2011,11/14/2011,11/14/2011,Atlantic City Electric,"McKee, New Jersey",RFC,0,0,vandalism,14:24:00,14:24:00
519,Vandalism,2011,11/13/2011,11/13/2011,ISO New England / obo Public Service of New Hampshire,"Cate Road, Deerfield, New Hampshire",NPCC,0,0,vandalism,11:30:00,12:00:00
520,Vandalism,2011,11/4/2011,11/4/2011,PacifiCorp,"Sweetwater County, Wyoming",WECC,0,0,vandalism,10:46:00,10:46:00
521,Severe Weather,2011,10/29/2011,11/3/2011,PPL Electric Utilities,"Harrisburg, Lehigh Valley, Lancaster Region Pennsylvania",RFC,UNK,"146,721",severe weather,12:57:00,23:00:00
522,Severe Weather,2011,10/29/2011,11/2/2011,"Consolidated Edison Company of NY, Inc",New York City area,NPCC,UNK,"50,000",severe weather,16:16:00,21:30:00
523,Severe Weather,2011,10/29/2011,10/31/2011,"Orange and Rockland Utilities, Inc",New Jersey; New York,"NPCC, RFC",,"74,000",severe weather,20:00:00,20:00:00
524,Severe Weather,2011,10/29/2011,11/7/2011,Metropolitan Edison Company,Pennsylvania,RFC,UNK,"312,359",severe weather,08:59:00,19:58:00
525,Severe Weather,2011,10/29/2011,11/7/2011,ISO New England,Connecticut; Maine; Massachusetts; New Hampshire; Rhode Island,NPCC,UNK,"1,418,100",severe weather,16:14:00,16:00:00
526,Severe Weather,2011,10/29/2011,11/7/2011,Potomac Edison,Pennsylvania,RFC,UNK,"50,000",severe weather,08:59:00,15:00:00
527,Severe Weather,2011,10/29/2011,10/31/2011,Exelon Corporation/PECO,Southeast Pennsylvania,RFC,UNK,"109,335",severe weather,14:00:00,14:00:00
528,Severe Weather,2011,10/29/2011,11/7/2011,Jersey Central Power & Light Company,Northwest and Central New Jersey,RFC,UNK,"379,000",severe weather,09:59:00,13:00:00
